127.0.0.1 - - [03/Mar/2023:09:57:17 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [03/Mar/2023:09:57:18 +0900] "GET /webpr/0302/simenticClass.html HTTP/1.1" 200 2287
0:0:0:0:0:0:0:1 - - [03/Mar/2023:09:57:18 +0900] "GET /webpr/0302/images/spon.png HTTP/1.1" 404 845
0:0:0:0:0:0:0:1 - - [03/Mar/2023:09:57:18 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [03/Mar/2023:09:57:43 +0900] "GET /webpr/0302/simenticClass.html HTTP/1.1" 200 2294
0:0:0:0:0:0:0:1 - - [03/Mar/2023:09:57:44 +0900] "GET /webpr/images/shopping.jpg HTTP/1.1" 200 5548
0:0:0:0:0:0:0:1 - - [03/Mar/2023:09:57:52 +0900] "GET /webpr/0302/simenticClass.html HTTP/1.1" 200 2295
0:0:0:0:0:0:0:1 - - [03/Mar/2023:10:00:28 +0900] "GET /webpr/0302/simenticClass.html HTTP/1.1" 200 2299
0:0:0:0:0:0:0:1 - - [03/Mar/2023:13:55:18 +0900] "GET /webpr/0302/simenticClass.html HTTP/1.1" 200 2295
0:0:0:0:0:0:0:1 - - [03/Mar/2023:13:56:12 +0900] "GET /webpr/0302/simenticClass.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2023:13:56:18 +0900] "GET /webpr/0302/simenticClass.html HTTP/1.1" 200 2295
0:0:0:0:0:0:0:1 - - [03/Mar/2023:13:56:25 +0900] "GET /webpr/0302/simenticClass.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2023:14:06:01 +0900] "GET /webpr/0302/%EB%B0%98%EC%9D%91%ED%98%95.html HTTP/1.1" 200 3679
0:0:0:0:0:0:0:1 - - [03/Mar/2023:14:06:01 +0900] "GET /webpr/images/spongebob.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2023:14:10:21 +0900] "GET /webpr/0302/%EB%B0%98%EC%9D%91%ED%98%95.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2023:14:10:33 +0900] "GET /webpr/0302/%EB%B0%98%EC%9D%91%ED%98%95.html HTTP/1.1" 200 3664
0:0:0:0:0:0:0:1 - - [03/Mar/2023:14:10:33 +0900] "GET /webpr/0302/%EB%B0%98%EC%9D%91%ED%98%95.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Mar/2023:14:10:47 +0900] "GET /webpr/0302/%EB%B0%98%EC%9D%91%ED%98%95.html HTTP/1.1" 200 3679
0:0:0:0:0:0:0:1 - - [03/Mar/2023:14:33:48 +0900] "GET /webpr/0302/%EB%B0%98%EC%9D%91%ED%98%95.html HTTP/1.1" 304 -
