127.0.0.1 - - [23/Mar/2023:14:09:50 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [23/Mar/2023:14:09:51 +0900] "GET /jqpro/0323/dataType.html HTTP/1.1" 200 1678
0:0:0:0:0:0:0:1 - - [23/Mar/2023:14:09:51 +0900] "GET /jqpro/js/jquery-3.6.4.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Mar/2023:14:09:51 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Mar/2023:14:09:55 +0900] "GET /jqpro/0322/text.jsp HTTP/1.1" 200 72
0:0:0:0:0:0:0:1 - - [23/Mar/2023:14:10:05 +0900] "GET /jqpro/0322/text.jsp HTTP/1.1" 200 72
0:0:0:0:0:0:0:1 - - [23/Mar/2023:14:10:05 +0900] "GET /jqpro/0322/text.jsp HTTP/1.1" 200 72
0:0:0:0:0:0:0:1 - - [23/Mar/2023:14:10:05 +0900] "GET /jqpro/0322/text.jsp HTTP/1.1" 200 72
0:0:0:0:0:0:0:1 - - [23/Mar/2023:14:10:06 +0900] "GET /jqpro/0322/text.jsp HTTP/1.1" 200 72
0:0:0:0:0:0:0:1 - - [23/Mar/2023:14:10:06 +0900] "GET /jqpro/0322/text.jsp HTTP/1.1" 200 72
0:0:0:0:0:0:0:1 - - [23/Mar/2023:14:18:55 +0900] "GET /jqpro/0323/dataType.html HTTP/1.1" 200 2056
0:0:0:0:0:0:0:1 - - [23/Mar/2023:14:18:55 +0900] "GET /jqpro/js/jquery-3.6.4.min.js HTTP/1.1" 200 89795
0:0:0:0:0:0:0:1 - - [23/Mar/2023:14:18:55 +0900] "GET /jqpro/css/mystyle.css HTTP/1.1" 200 1033
0:0:0:0:0:0:0:1 - - [23/Mar/2023:14:18:55 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [23/Mar/2023:14:18:55 +0900] "GET /jqpro/0323/dataType.html HTTP/1.1" 200 2056
